product_id,name,brand_id,category_id,purchased_count,img,created_at
65,HONOR X7b - 8GB/256GB,1,1,22,https://cdn.hoanghamobile.com/Uploads/2024/03/01/x7b.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
66,Masstel izi T2 4G,4,1,22,https://cdn.hoanghamobile.com/Uploads/2024/02/16/masstel-izi-t2-4g-6.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
67,Masstel Fami 12S 4G,4,1,93,https://cdn.hoanghamobile.com/Uploads/2024/02/16/masstel-fami-12s-4g-2.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
68,iPhone 15 Pro (1TB) - Chính hãng VN/A,15,1,98,https://cdn.hoanghamobile.com/Uploads/2023/09/13/iphone-15-pro-finish-select-202309-6-7inch-naturaltitanium-removebg-preview-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
69,Samsung Galaxy S24 Ultra - 12GB/512GB,12,1,49,https://cdn.hoanghamobile.com/Uploads/2024/01/16/s24-ultra-vang_638409930027889246.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
70,Samsung Galaxy S24 Ultra - 12GB/1TB,12,1,6,https://cdn.hoanghamobile.com/Uploads/2024/01/16/s24-ultra-vang_638409930027889246.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
71,realme C53 - 8GB/256GB,11,1,88,https://cdn.hoanghamobile.com/Uploads/2024/04/16/realme-c53-3.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
72,Nubia Neo 2 8GB+12GB/256GB,6,1,21,https://cdn.hoanghamobile.com/Uploads/2024/04/26/nubia-neo-2-5g.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
73,Xiaomi 14 Ultra 16GB/512GB,14,1,22,https://cdn.hoanghamobile.com/Uploads/2024/03/10/xiaomi-14-ultra.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
74,Samsung Galaxy S24 Ultra - 12GB/256GB,12,1,87,https://cdn.hoanghamobile.com/Uploads/2025/01/06/s24-ultra-vang-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
75,Nokia 220 4G,7,1,81,https://cdn.hoanghamobile.com/Uploads/2024/06/10/nokia-220-7.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
76,iPhone 15 Plus (128GB) - Chính hãng VN/A,15,1,76,https://cdn.hoanghamobile.com/Uploads/2023/09/13/iphone-15-plus-blue-pure-back-iphone-15-plus-blue-pure-front-2up-screen-usen.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
77,Samsung Galaxy A16 5G 8GB/128GB,12,1,95,https://cdn.hoanghamobile.com/Uploads/2025/03/24/a16-5g-blue-black.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
78,Mobell M139 4G,5,1,13,https://cdn.hoanghamobile.com/Uploads/2024/04/26/m139-new-red-05.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
79,Mobell M331 4G,5,1,73,https://cdn.hoanghamobile.com/Uploads/2024/04/26/m331.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
80,Mobell M539 4G,5,1,91,https://cdn.hoanghamobile.com/Uploads/2024/04/26/m539.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
81,Mobell F209 4G,5,1,41,https://cdn.hoanghamobile.com/Uploads/2024/04/26/f209.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
82,Mobell F309 4G,5,1,10,https://cdn.hoanghamobile.com/Uploads/2024/04/26/f309.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
83,Mobell ROCK 4 4G,5,1,84,https://cdn.hoanghamobile.com/Uploads/2024/04/26/mobell-rock-4-4g.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
84,iPhone 15 Plus (512GB) - Chính hãng VN/A,15,1,22,https://cdn.hoanghamobile.com/Uploads/2023/09/13/iphone-15-plus-blue-pure-back-iphone-15-plus-blue-pure-front-2up-screen-usen.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
85,Xiaomi 14T 12GB/512GB,14,1,38,https://cdn.hoanghamobile.com/Uploads/2024/09/27/xiaomi-14t.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
86,Xiaomi 14T Pro 12GB/512GB,14,1,59,https://cdn.hoanghamobile.com/Uploads/2024/09/27/xiaomi-14t.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
